dry,,mositure 4 dyas,,moisture 1 day,
Temp (degC),Contraction (%),Temp (degC),Contraction (%),Temp (degC),Contraction (%)
38.15384615,-0.008310992,34.30769231,-0.120911528,,
37.23076923,-0.008310992,33.23076923,-0.109651475,,
35.61538462,-0.008310992,32.15384615,-0.098391421,,
34,-0.008310992,31.30769231,-0.089008043,,
32.69230769,-0.008310992,29.92307692,-0.077747989,,
31.84615385,-0.008310992,28.76923077,-0.068364611,,
31,-0.008310992,27.38461538,-0.057104558,,
30.38461538,-0.008310992,26.23076923,-0.04772118,,
29.46153846,-0.008310992,25.38461538,-0.040214477,,
28.69230769,-0.008310992,,,,
27.92307692,-0.006434316,,,,
27.46153846,-0.006434316,,,,
26.69230769,-0.006434316,,,,
26.23076923,-0.006434316,,,,
25.84615385,-0.004557641,,,,
